Matricula 27243: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27246: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 27257: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27701: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27732: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 27761: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 27774: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 27792: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28849: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28899: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 28913: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28927: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 28945: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28976: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28979: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28989: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 28996: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29033: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29037: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 29043: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29058: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29063: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29067: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29075: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29083: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29087: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29090: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29097: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29106: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29107: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29124: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29155: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29180: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29201: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29229: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29254: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29291: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29294: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento comunicado até dia 15
Matricula 29342: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29359: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29384: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29935: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29955: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29956: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 29968: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 29978: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30025: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30039: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30062: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30076: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30083: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30086: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30092: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30112: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30114: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30119: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30123: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30130: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento comunicado até dia 15
Matricula 30134: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30140: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30145: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30146: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30156: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30173: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30175: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30187: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30197: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
