MATRICULA;Admissão;Cargo;DESC. SITUACAO;DIAS DE FÉRIAS;Sindicato;DATA DEMISSÃO;COMUNICADO DE DESLIGAMENTO;DIAS_UTEIS
25251;;ANALISTA DE FINANCAS III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25290;;EXECUTIVO DE CONTAS III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
25294;;GERENTE DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25310;;ESPECIALISTA DE DADOS I;Férias;5.0;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
25314;;ANALISTA DE ADMINISTRACAO DE PESSOAS II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25330;;DESENVOLVEDOR III;Férias;30.0;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
25342;;DESENVOLVEDOR II;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
25349;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25379;;TECH LEAD I;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
25528;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25565;;ANALISTA DE SUPORTE II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25579;;COORDENADOR DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25583;;ANALISTA DE SISTEMAS E NEGOCIOS III;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
25609;;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
25614;;PRODUCT OWNER II;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
25619;;COORDENADOR DE COMUNICACAO E MARKETING;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25670;;CONSULTOR ESPECIALISTA TECNICO SAP;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;2025-05-15;OK;0
25707;;GERENTE DE PROJETOS II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;2025-05-09;OK;0
25724;;GERENTE DE OPERACOES II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
25770;;ANALISTA ADMINISTRATIVO II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
25846;;COORDENADOR DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25857;;ANALISTA DE CONTROLADORIA III;Auxílio Doença;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;0
25872;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25931;;GERENTE DE CUSTOMER SUCCESS;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25934;;GERENTE DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25961;;ASSISTENTE DE BPO III;Licença Maternidade;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;0
25975;;COORDENADOR DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
25978;;ANALISTA DE SISTEMAS E NEGOCIOS III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26042;;ARQUITETO DE SOFTWARE III;Férias;30.0;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26051;;GERENTE DE SERVICOS SENIOR;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26055;;GERENTE DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26084;;ARQUITETO DE SOFTWARE III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26095;;DESENVOLVEDOR III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26129;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26139;;;;;;2025-05-02;OK;0
26147;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26161;;ARQUITETO DE SOFTWARE I;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26174;;CONSULTOR TECNICO SAP III;Férias;30.0;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26182;;ANALISTA DE COMPRAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26183;;COORDENADOR DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26210;;DESENVOLVEDOR III;Férias;5.0;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26245;;GERENTE DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26268;;DESENVOLVEDOR III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26273;;ANALISTA DE SISTEMAS E NEGOCIOS II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26275;;COORDENADOR DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26307;;ANALISTA DE INFRAESTRUTURA DE TI II;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
26314;;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26322;;EXECUTIVO DE CONTAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26336;;COORDENADOR DE OPERACOES II;Férias;15.0;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26345;;GERENTE DE PMO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26346;;COORDENADOR DE INFRAESTRUTURA DE TI;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26347;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26361;;DEVELOPER II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26434;;ANALISTA ADMINISTRATIVO II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26463;;COORDENADOR DE BPO;Férias;10.0;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26497;;AGILE COACH I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26545;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26561;;CONSULTOR FUNCIONAL SAP I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26578;;AGILE COACH I;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
26609;;DESENVOLVEDOR II;Férias;20.0;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26611;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26662;;LIDER DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26681;;ANALISTA DE SUPORTE II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26702;;DESENVOLVEDOR II;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26705;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26716;;ENTERPRISE AGILE COACH;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26720;;DESENVOLVEDOR III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26742;;DESENVOLVEDOR III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26745;;GERENTE DE PROJETOS II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26781;;AGILE COACH II;Férias;5.0;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
26787;;LIDER DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26805;;CONSULTOR DE IMPLEMENTACAO III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26809;;ARQUITETO DE SOFTWARE III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26846;;ANALISTA DE SISTEMAS E NEGOCIOS III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26854;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26856;;ANALISTA DE EXCELENCIA OPERACIONAL I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26859;;COORDENADOR DE ATRACAO E SELECAO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26876;;ANALISTA DE DADOS III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
26892;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26910;;ASSISTENTE DE BPO III;Férias;30.0;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26925;;ANALISTA DE DADOS III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26927;;ANALISTA DE COMPLIANCE II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26949;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
26967;;DESENVOLVEDOR III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
26997;;ANALISTA DE QUALIDADE DE SOFTWARE III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27005;;CONSULTOR FUNCIONAL SAP III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
27009;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27041;;ANALISTA DE PMO II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27042;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27059;;ANALISTA DE DADOS III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
27071;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27088;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27113;;ASSISTENTE DE BPO II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27119;;ANALISTA DE SISTEMAS E NEGOCIOS II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27145;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27154;;LIDER DE BPO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27163;;ANALISTA DE QUALIDADE DE SOFTWARE I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27198;;ANALISTA CONTABIL-FISCAL I;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
27212;;ARQUITETO DE SOLUCOES III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
27226;;;;;;2025-05-29;OK;0
27243;;ANALISTA DE SUPORTE II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27246;;GERENTE DE COMUNICACAO E MARKETING;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
27257;;ASSISTENTE DE BPO III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27701;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
27732;;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
27761;;ANALISTA DE DADOS III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
27774;;DESENVOLVEDOR III;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
27792;;COORDENADOR DE OPERACOES I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28849;;DESENVOLVEDOR III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28899;;ARQUITETO DE SOLUCOES I;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
28913;;ANALISTA DEVSECOPS II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28927;;GERENTE DE GERACAO DE DEMANDAS;Férias;20.0;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
28945;;ASSISTENTE DE BPO II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28976;;DESENVOLVEDOR III;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
28979;;ANALISTA DE CONTROLADORIA II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28989;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
28996;;LIDER TECNICO PLENO;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29033;;ANALISTA DE COMPRAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29037;;ANALISTA DE PMO III;Trabalhando;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;22
29043;;ANALISTA DEVSECOPS III;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29058;;ANALISTA DE SUPORTE II;Férias;15.0;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29063;;CONSULTOR FUNCIONAL SAP I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29067;;CONSULTOR FUNCIONAL SAP I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29075;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29083;;EXECUTIVO DE CONTAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29087;;EXECUTIVO DE CONTAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29090;;EXECUTIVO DE CONTAS I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29097;;ANALISTA DE SUPORTE II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
29106;;COORDENADOR DE SISTEMAS;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
29107;;EXECUTIVO DE CONTAS I;Trabalhando;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;21
29124;;ASSISTENTE DE BPO I;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29155;;ASSISTENTE DE BPO II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29180;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29201;;GERENTE DE PROJETOS II;Trabalhando;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;22
29229;;DESENVOLVEDOR II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
29254;;ANALISTA DE CUSTOMER SUCCESS II;Trabalhando;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;21
